code	primaryCategory	secondaryCategory
J-YHIST	EXP. INTERVENTION	Occupation
J-Y1318	EXP. INTERVENTION	Occupation
J-CB536	EXP. INTERVENTION	Occupation
J-96C60	EXP. INTERVENTION	Occupation
J-B6060	EXP. INTERVENTION	Occupation
J-YY131	EXP. INTERVENTION	Occupation
J-Y0001	EXP. INTERVENTION	Occupation
J-YY176	EXP. INTERVENTION	Occupation
J-YY187	EXP. INTERVENTION	Occupation
J-PY891	EXP. INTERVENTION	Occupation
J-YY020	EXP. INTERVENTION	Occupation
J-KSY01	EXP. INTERVENTION	Occupation
J-RSTY1	EXP. INTERVENTION	Occupation
J-E4989	EXP. INTERVENTION	Occupation
J-CMV59	EXP. INTERVENTION	Occupation
J-YY207	EXP. INTERVENTION	Occupation
J-YY218	EXP. INTERVENTION	Occupation
J-MVARC	EXP. INTERVENTION	Occupation
J-E8076	EXP. INTERVENTION	Occupation
T-51000	EXP. INTERVENTION	Topography
T-XX000	EXP. INTERVENTION	Topography
T-2X120	EXP. INTERVENTION	Topography
T-XX180	EXP. INTERVENTION	Topography
T-D4010	EXP. INTERVENTION	Topography
T-D3000	EXP. INTERVENTION	Topography
T-Y0200	EXP. INTERVENTION	Topography
T-Y9500	EXP. INTERVENTION	Topography
T-08510	EXP. INTERVENTION	Topography
T-XX010	EXP. INTERVENTION	Topography
T-Y1300	EXP. INTERVENTION	Topography
T-X2200	EXP. INTERVENTION	Topography
T-10100	EXP. INTERVENTION	Topography
T-03412	EXP. INTERVENTION	Topography
T-YY014	EXP. INTERVENTION	Topography
T-86800	EXP. INTERVENTION	Topography
T-X3231	EXP. INTERVENTION	Topography
T-0X003	EXP. INTERVENTION	Topography
T-74060	EXP. INTERVENTION	Topography
T-YY004	EXP. INTERVENTION	Topography
T-10562	EXP. INTERVENTION	Topography
T-74000	EXP. INTERVENTION	Topography
T-87600	EXP. INTERVENTION	Topography
T-X2410	EXP. INTERVENTION	Topography
T-YY001	EXP. INTERVENTION	Topography
T-Y8104	EXP. INTERVENTION	Topography
T-02102	EXP. INTERVENTION	Topography
T-Y8020	EXP. INTERVENTION	Topography
M-40000	EXP. INTERVENTION	Morphology
M-41740	EXP. INTERVENTION	Morphology
M-YY011	EXP. INTERVENTION	Morphology
M-09200	EXP. INTERVENTION	Morphology
M-36810	EXP. INTERVENTION	Morphology
M-01100	EXP. INTERVENTION	Morphology
M-03000	EXP. INTERVENTION	Morphology
M-Y3710	EXP. INTERVENTION	Morphology
E-90460	EXP. INTERVENTION	Etiology
E-77710	EXP. INTERVENTION	Etiology
E-0721X	EXP. INTERVENTION	Etiology
E-YY083	EXP. INTERVENTION	Etiology
E-77970	EXP. INTERVENTION	Etiology
E-45960	EXP. INTERVENTION	Etiology
E-50520	EXP. INTERVENTION	Etiology
F-YY015	EXP. INTERVENTION	Function
F-YY146	EXP. INTERVENTION	Function
F-YY020	EXP. INTERVENTION	Function
F-85760	EXP. INTERVENTION	Function
F-YYTID	EXP. INTERVENTION	Function
P-N2132	EXP. INTERVENTION	Procedure
P-10000	EXP. INTERVENTION	Procedure
P-YY118	EXP. INTERVENTION	Procedure
P-16000	EXP. INTERVENTION	Procedure
P-14200	EXP. INTERVENTION	Procedure
P-12800	EXP. INTERVENTION	Procedure
P-1A234	EXP. INTERVENTION	Procedure
P-14500	EXP. INTERVENTION	Procedure
P-12X50	EXP. INTERVENTION	Procedure
P-12766	EXP. INTERVENTION	Procedure
P-YY044	EXP. INTERVENTION	Procedure
P-11410	EXP. INTERVENTION	Procedure
P-X9000	EXP. INTERVENTION	Procedure
J-63C12	EXP. INTERVENTION	Occupation
J-80750	EXP. INTERVENTION	Occupation
J-25520	EXP. INTERVENTION	Occupation
J-Y0059	EXP. INTERVENTION	Occupation
J-L1441	EXP. INTERVENTION	Occupation
J-YY105	EXP. INTERVENTION	Occupation
J-EY154	EXP. INTERVENTION	Occupation
J-BROCC	EXP. INTERVENTION	Occupation
J-YY163	EXP. INTERVENTION	Occupation
J-GOL00	EXP. INTERVENTION	Occupation
J-YY094	EXP. INTERVENTION	Occupation
J-YY116	EXP. INTERVENTION	Occupation
J-YY117	EXP. INTERVENTION	Occupation
J-YY118	EXP. INTERVENTION	Occupation
J-04110	EXP. INTERVENTION	Occupation
J-NONPH	EXP. INTERVENTION	Occupation
J-F18V1	EXP. INTERVENTION	Occupation
J-YYMII	EXP. INTERVENTION	Occupation
J-YY010	EXP. INTERVENTION	Occupation
J-YYISS	EXP. INTERVENTION	Occupation
J-1NALE	EXP. INTERVENTION	Occupation
J-YHEPC	EXP. INTERVENTION	Occupation
J-YY133	EXP. INTERVENTION	Occupation
J-YY137	EXP. INTERVENTION	Occupation
J-CB058	EXP. INTERVENTION	Occupation
J-72610	EXP. INTERVENTION	Occupation
J-24706	EXP. INTERVENTION	Occupation
J-YY237	EXP. INTERVENTION	Occupation
J-E8536	EXP. INTERVENTION	Occupation
J-YY162	EXP. INTERVENTION	Occupation
J-YYHLZ	EXP. INTERVENTION	Occupation
J-YPMPY	EXP. INTERVENTION	Occupation
J-YY222	EXP. INTERVENTION	Occupation
J-YY217	EXP. INTERVENTION	Occupation
J-YY226	EXP. INTERVENTION	Occupation
J-YV245	EXP. INTERVENTION	Occupation
J-FY051	EXP. INTERVENTION	Occupation
T-10101	EXP. INTERVENTION	Topography
T-Y8210	EXP. INTERVENTION	Topography
T-91000	EXP. INTERVENTION	Topography
T-78000	EXP. INTERVENTION	Topography
T-F6170	EXP. INTERVENTION	Topography
T-Y1500	EXP. INTERVENTION	Topography
T-54010	EXP. INTERVENTION	Topography
T-63000	EXP. INTERVENTION	Topography
T-65100	EXP. INTERVENTION	Topography
T-49420	EXP. INTERVENTION	Topography
T-12430	EXP. INTERVENTION	Topography
T-77520	EXP. INTERVENTION	Topography
T-65900	EXP. INTERVENTION	Topography
T-X4100	EXP. INTERVENTION	Topography
T-13260	EXP. INTERVENTION	Topography
T-Y1000	EXP. INTERVENTION	Topography
T-13100	EXP. INTERVENTION	Topography
T-Y4330	EXP. INTERVENTION	Topography
T-Y2100	EXP. INTERVENTION	Topography
T-X9440	EXP. INTERVENTION	Topography
T-X9300	EXP. INTERVENTION	Topography
T-02450	EXP. INTERVENTION	Topography
T-28800	EXP. INTERVENTION	Topography
T-25000	EXP. INTERVENTION	Topography
T-02412	EXP. INTERVENTION	Topography
T-70000	EXP. INTERVENTION	Topography
T-02480	EXP. INTERVENTION	Topography
T-21520	EXP. INTERVENTION	Topography
T-X0500	EXP. INTERVENTION	Topography
T-40000	EXP. INTERVENTION	Topography
T-57013	EXP. INTERVENTION	Topography
T-08712	EXP. INTERVENTION	Topography
T-81000	EXP. INTERVENTION	Topography
T-YY503	EXP. INTERVENTION	Topography
M-14310	EXP. INTERVENTION	Morphology
M-28030	EXP. INTERVENTION	Morphology
M-14100	EXP. INTERVENTION	Morphology
M-49400	EXP. INTERVENTION	Morphology
M-31950	EXP. INTERVENTION	Morphology
E-90020	EXP. INTERVENTION	Etiology
F-YY017	EXP. INTERVENTION	Function
F-YY023	EXP. INTERVENTION	Function
F-EXCDY	EXP. INTERVENTION	Function
P-171DO	EXP. INTERVENTION	Procedure
P-D0606	EXP. INTERVENTION	Procedure
P-X9009	EXP. INTERVENTION	Procedure
P-12540	EXP. INTERVENTION	Procedure
P-YY100	EXP. INTERVENTION	Procedure
P-12700	EXP. INTERVENTION	Procedure
P-54337	EXP. INTERVENTION	Procedure
P-11400	EXP. INTERVENTION	Procedure
P-14000	EXP. INTERVENTION	Procedure
P-10307	EXP. INTERVENTION	Procedure
P-Y0001	EXP. INTERVENTION	Procedure
P-YY108	EXP. INTERVENTION	Procedure
P-YY154	EXP. INTERVENTION	Procedure
P-12100	EXP. INTERVENTION	Procedure
P-YYBAL	EXP. INTERVENTION	Procedure
P-YY144	EXP. INTERVENTION	Procedure
P-11060	EXP. INTERVENTION	Procedure
P-12837	EXP. INTERVENTION	Procedure
P-B6140	EXP. INTERVENTION	Procedure
P-YY023	EXP. INTERVENTION	Procedure
P-14520	EXP. INTERVENTION	Procedure
J-YY083	EXP. INTERVENTION	Occupation
J-YY059	EXP. INTERVENTION	Occupation
J-A1510	EXP. INTERVENTION	Occupation
J-YY106	EXP. INTERVENTION	Occupation
J-33710	EXP. INTERVENTION	Occupation
J-127AO	EXP. INTERVENTION	Occupation
J-YY103	EXP. INTERVENTION	Occupation
J-YY120	EXP. INTERVENTION	Occupation
J-HKLIS	EXP. INTERVENTION	Occupation
J-OST57	EXP. INTERVENTION	Occupation
J-CD01C	EXP. INTERVENTION	Occupation
J-YLICL	EXP. INTERVENTION	Occupation
J-YY287	EXP. INTERVENTION	Occupation
J-B6089	EXP. INTERVENTION	Occupation
J-YBTOX	EXP. INTERVENTION	Occupation
J-YY126	EXP. INTERVENTION	Occupation
J-YY136	EXP. INTERVENTION	Occupation
J-CB540	EXP. INTERVENTION	Occupation
J-Y2001	EXP. INTERVENTION	Occupation
J-YY172	EXP. INTERVENTION	Occupation
J-YYIL1	EXP. INTERVENTION	Occupation
J-YY200	EXP. INTERVENTION	Occupation
J-YY204	EXP. INTERVENTION	Occupation
J-C2388	EXP. INTERVENTION	Occupation
J-YYPUD	EXP. INTERVENTION	Occupation
J-YC222	EXP. INTERVENTION	Occupation
J-YY221	EXP. INTERVENTION	Occupation
J-CDC03	EXP. INTERVENTION	Occupation
J-YY228	EXP. INTERVENTION	Occupation
J-YY248	EXP. INTERVENTION	Occupation
T-28000	EXP. INTERVENTION	Topography
T-Y6600	EXP. INTERVENTION	Topography
T-Y9200	EXP. INTERVENTION	Topography
T-01600	EXP. INTERVENTION	Topography
T-Y8700	EXP. INTERVENTION	Topography
T-54910	EXP. INTERVENTION	Topography
T-76000	EXP. INTERVENTION	Topography
T-13001	EXP. INTERVENTION	Topography
T-Y0100	EXP. INTERVENTION	Topography
T-Y4500	EXP. INTERVENTION	Topography
T-10511	EXP. INTERVENTION	Topography
T-11650	EXP. INTERVENTION	Topography
T-11410	EXP. INTERVENTION	Topography
T-21300	EXP. INTERVENTION	Topography
T-11340	EXP. INTERVENTION	Topography
T-Y0600	EXP. INTERVENTION	Topography
T-50100	EXP. INTERVENTION	Topography
T-65000	EXP. INTERVENTION	Topography
T-X2210	EXP. INTERVENTION	Topography
T-87010	EXP. INTERVENTION	Topography
T-10572	EXP. INTERVENTION	Topography
T-02600	EXP. INTERVENTION	Topography
T-03630	EXP. INTERVENTION	Topography
T-Y9480	EXP. INTERVENTION	Topography
T-08710	EXP. INTERVENTION	Topography
T-Y7010	EXP. INTERVENTION	Topography
T-Y7020	EXP. INTERVENTION	Topography
T-46600	EXP. INTERVENTION	Topography
T-Y9120	EXP. INTERVENTION	Topography
T-03480	EXP. INTERVENTION	Topography
T-79400	EXP. INTERVENTION	Topography
T-Y9101	EXP. INTERVENTION	Topography
M-14360	EXP. INTERVENTION	Morphology
M-14000	EXP. INTERVENTION	Morphology
M-30400	EXP. INTERVENTION	Morphology
M-34210	EXP. INTERVENTION	Morphology
M-33400	EXP. INTERVENTION	Morphology
M-14120	EXP. INTERVENTION	Morphology
M-02980	EXP. INTERVENTION	Morphology
M-34160	EXP. INTERVENTION	Morphology
M-49430	EXP. INTERVENTION	Morphology
E-YY154	EXP. INTERVENTION	Etiology
E-16000	EXP. INTERVENTION	Etiology
E-YY148	EXP. INTERVENTION	Etiology
E-88110	EXP. INTERVENTION	Etiology
E-79190	EXP. INTERVENTION	Etiology
E-28000	EXP. INTERVENTION	Etiology
E-90650	EXP. INTERVENTION	Etiology
E-Y2222	EXP. INTERVENTION	Etiology
F-79000	EXP. INTERVENTION	Function
F-YY147	EXP. INTERVENTION	Function
F-YYSHM	EXP. INTERVENTION	Function
D-65110	EXP. INTERVENTION	Disease
P-10400	EXP. INTERVENTION	Procedure
P-YY145	EXP. INTERVENTION	Procedure
P-11610	EXP. INTERVENTION	Procedure
P-20100	EXP. INTERVENTION	Procedure
P-14920	EXP. INTERVENTION	Procedure
P-11420	EXP. INTERVENTION	Procedure
P-YY036	EXP. INTERVENTION	Procedure
P-18374	EXP. INTERVENTION	Procedure
P-13000	EXP. INTERVENTION	Procedure
P-Y3281	EXP. INTERVENTION	Procedure
P-12200	EXP. INTERVENTION	Procedure
P-YY024	EXP. INTERVENTION	Procedure
P-YY014	EXP. INTERVENTION	Procedure
J-A1552	EXP. INTERVENTION	Occupation
J-YY107	EXP. INTERVENTION	Occupation
J-80420	EXP. INTERVENTION	Occupation
J-CPG10	EXP. INTERVENTION	Occupation
J-INRIX	EXP. INTERVENTION	Occupation
J-R1580	EXP. INTERVENTION	Occupation
J-80410	EXP. INTERVENTION	Occupation
J-N7Z45	EXP. INTERVENTION	Occupation
J-87271	EXP. INTERVENTION	Occupation
J-EY247	EXP. INTERVENTION	Occupation
J-57018	EXP. INTERVENTION	Occupation
J-Y1317	EXP. INTERVENTION	Occupation
J-E7798	EXP. INTERVENTION	Occupation
J-D1830	EXP. INTERVENTION	Occupation
J-YZR89	EXP. INTERVENTION	Occupation
J-E8473	EXP. INTERVENTION	Occupation
J-YY166	EXP. INTERVENTION	Occupation
J-P8001	EXP. INTERVENTION	Occupation
J-YY152	EXP. INTERVENTION	Occupation
J-YYORT	EXP. INTERVENTION	Occupation
J-YYMBP	EXP. INTERVENTION	Occupation
J-YY209	EXP. INTERVENTION	Occupation
J-YY225	EXP. INTERVENTION	Occupation
J-YY244	EXP. INTERVENTION	Occupation
J-YY249	EXP. INTERVENTION	Occupation
J-YY259	EXP. INTERVENTION	Occupation
T-40300	EXP. INTERVENTION	Topography
T-Y8300	EXP. INTERVENTION	Topography
T-Y9800	EXP. INTERVENTION	Topography
T-83000	EXP. INTERVENTION	Topography
T-18900	EXP. INTERVENTION	Topography
T-18905	EXP. INTERVENTION	Topography
T-Y8720	EXP. INTERVENTION	Topography
T-YY012	EXP. INTERVENTION	Topography
T-02131	EXP. INTERVENTION	Topography
T-YY007	EXP. INTERVENTION	Topography
T-18600	EXP. INTERVENTION	Topography
T-X1450	EXP. INTERVENTION	Topography
T-67100	EXP. INTERVENTION	Topography
T-87020	EXP. INTERVENTION	Topography
T-1X500	EXP. INTERVENTION	Topography
T-X4010	EXP. INTERVENTION	Topography
T-YY470	EXP. INTERVENTION	Topography
T-51020	EXP. INTERVENTION	Topography
T-13690	EXP. INTERVENTION	Topography
T-51320	EXP. INTERVENTION	Topography
T-08711	EXP. INTERVENTION	Topography
T-08810	EXP. INTERVENTION	Topography
T-08000	EXP. INTERVENTION	Topography
T-Y4300	EXP. INTERVENTION	Topography
M-14920	EXP. INTERVENTION	Morphology
M-YY013	EXP. INTERVENTION	Morphology
M-22160	EXP. INTERVENTION	Morphology
E-YY034	EXP. INTERVENTION	Etiology
E-50150	EXP. INTERVENTION	Etiology
E-YY277	EXP. INTERVENTION	Etiology
F-31320	EXP. INTERVENTION	Function
F-YYBID	EXP. INTERVENTION	Function
F-YY026	EXP. INTERVENTION	Function
F-YYSEV	EXP. INTERVENTION	Function
F-YY030	EXP. INTERVENTION	Function
D-40100	EXP. INTERVENTION	Disease
P-YY103	EXP. INTERVENTION	Procedure
P-YY015	EXP. INTERVENTION	Procedure
P-YY142	EXP. INTERVENTION	Procedure
P-11000	EXP. INTERVENTION	Procedure
P-GOL08	EXP. INTERVENTION	Procedure
P-04540	EXP. INTERVENTION	Procedure
P-02300	EXP. INTERVENTION	Procedure
P-11100	EXP. INTERVENTION	Procedure
P-PPL01	EXP. INTERVENTION	Procedure
P-10100	EXP. INTERVENTION	Procedure
P-YY133	EXP. INTERVENTION	Procedure
P-11450	EXP. INTERVENTION	Procedure
P-2A802	EXP. INTERVENTION	Procedure
P-16200	EXP. INTERVENTION	Procedure
P-YY976	EXP. INTERVENTION	Procedure
P-12500	EXP. INTERVENTION	Procedure
P-YY111	EXP. INTERVENTION	Procedure
P-Y8973	EXP. INTERVENTION	Procedure
P-03140	EXP. INTERVENTION	Procedure
P-11040	EXP. INTERVENTION	Procedure
P-07030	EXP. INTERVENTION	Procedure
P-14800	EXP. INTERVENTION	Procedure
P-EXAIR	EXP. INTERVENTION	Procedure
P-12710	EXP. INTERVENTION	Procedure
P-12X20	EXP. INTERVENTION	Procedure
P-A9058	EXP. INTERVENTION	Procedure
P-YY022	EXP. INTERVENTION	Procedure
J-B6066	EXP. INTERVENTION	Occupation
J-YY092	EXP. INTERVENTION	Occupation
J-111AO	EXP. INTERVENTION	Occupation
J-F06LU	EXP. INTERVENTION	Occupation
J-YHDMA	EXP. INTERVENTION	Occupation
J-YYNTI	EXP. INTERVENTION	Occupation
J-YY127	EXP. INTERVENTION	Occupation
J-B6079	EXP. INTERVENTION	Occupation
J-YGNF1	EXP. INTERVENTION	Occupation
J-AHKA1	EXP. INTERVENTION	Occupation
J-YPROP	EXP. INTERVENTION	Occupation
J-Y1319	EXP. INTERVENTION	Occupation
J-YY284	EXP. INTERVENTION	Occupation
J-YSAFO	EXP. INTERVENTION	Occupation
J-YFISH	EXP. INTERVENTION	Occupation
J-31126	EXP. INTERVENTION	Occupation
J-YY174	EXP. INTERVENTION	Occupation
J-YY167	EXP. INTERVENTION	Occupation
J-YY171	EXP. INTERVENTION	Occupation
J-YY170	EXP. INTERVENTION	Occupation
J-Y858P	EXP. INTERVENTION	Occupation
J-YY195	EXP. INTERVENTION	Occupation
J-YY095	EXP. INTERVENTION	Occupation
J-YY101	EXP. INTERVENTION	Occupation
J-E8604	EXP. INTERVENTION	Occupation
J-YY220	EXP. INTERVENTION	Occupation
J-YY245	EXP. INTERVENTION	Occupation
J-YY208	EXP. INTERVENTION	Occupation
J-FY052	EXP. INTERVENTION	Occupation
J-YY253	EXP. INTERVENTION	Occupation
T-Y9100	EXP. INTERVENTION	Topography
T-Y1100	EXP. INTERVENTION	Topography
T-D2000	EXP. INTERVENTION	Topography
T-Y8220	EXP. INTERVENTION	Topography
T-78020	EXP. INTERVENTION	Topography
T-48000	EXP. INTERVENTION	Topography
T-X2020	EXP. INTERVENTION	Topography
T-Y4100	EXP. INTERVENTION	Topography
T-78010	EXP. INTERVENTION	Topography
T-10740	EXP. INTERVENTION	Topography
T-YY511	EXP. INTERVENTION	Topography
T-Y8510	EXP. INTERVENTION	Topography
T-65200	EXP. INTERVENTION	Topography
T-49410	EXP. INTERVENTION	Topography
T-Y4102	EXP. INTERVENTION	Topography
T-10920	EXP. INTERVENTION	Topography
T-14700	EXP. INTERVENTION	Topography
T-X1120	EXP. INTERVENTION	Topography
T-X2060	EXP. INTERVENTION	Topography
T-32000	EXP. INTERVENTION	Topography
T-56000	EXP. INTERVENTION	Topography
T-87800	EXP. INTERVENTION	Topography
T-Y1200	EXP. INTERVENTION	Topography
T-47400	EXP. INTERVENTION	Topography
T-X1600	EXP. INTERVENTION	Topography
T-11840	EXP. INTERVENTION	Topography
T-Y9720	EXP. INTERVENTION	Topography
T-YY003	EXP. INTERVENTION	Topography
T-04000	EXP. INTERVENTION	Topography
M-79322	EXP. INTERVENTION	Morphology
M-54001	EXP. INTERVENTION	Morphology
M-49420	EXP. INTERVENTION	Morphology
M-YY017	EXP. INTERVENTION	Morphology
M-31600	EXP. INTERVENTION	Morphology
M-37000	EXP. INTERVENTION	Morphology
E-72090	EXP. INTERVENTION	Etiology
E-YY273	EXP. INTERVENTION	Etiology
F-YY028	EXP. INTERVENTION	Function
F-YY016	EXP. INTERVENTION	Function
F-60014	EXP. INTERVENTION	Function
F-18010	EXP. INTERVENTION	Function
F-YYGRE	EXP. INTERVENTION	Function
F-39760	EXP. INTERVENTION	Function
F-31000	EXP. INTERVENTION	Function
F-YTW16	EXP. INTERVENTION	Function
P-YY101	EXP. INTERVENTION	Procedure
P-YY616	EXP. INTERVENTION	Procedure
P-YY012	EXP. INTERVENTION	Procedure
P-00010	EXP. INTERVENTION	Procedure
P-12000	EXP. INTERVENTION	Procedure
P-11070	EXP. INTERVENTION	Procedure
P-14700	EXP. INTERVENTION	Procedure
P-Y8972	EXP. INTERVENTION	Procedure
P-YY105	EXP. INTERVENTION	Procedure
P-16300	EXP. INTERVENTION	Procedure
P-09000	EXP. INTERVENTION	Procedure
P-YY156	EXP. INTERVENTION	Procedure
P-34100	EXP. INTERVENTION	Procedure
P-11010	EXP. INTERVENTION	Procedure
P-YBROC	EXP. INTERVENTION	Procedure
P-10200	EXP. INTERVENTION	Procedure
P-12751	EXP. INTERVENTION	Procedure
P-YY147	EXP. INTERVENTION	Procedure
P-YY109	EXP. INTERVENTION	Procedure
P-YY157	EXP. INTERVENTION	Procedure
P-YY143	EXP. INTERVENTION	Procedure
P-YY028	EXP. INTERVENTION	Procedure
J-A1580	EXP. INTERVENTION	Occupation
J-YY139	EXP. INTERVENTION	Occupation
J-YY104	EXP. INTERVENTION	Occupation
J-YY109	EXP. INTERVENTION	Occupation
J-YY110	EXP. INTERVENTION	Occupation
J-VIVO1	EXP. INTERVENTION	Occupation
J-Y0013	EXP. INTERVENTION	Occupation
J-YY119	EXP. INTERVENTION	Occupation
J-TAFLU	EXP. INTERVENTION	Occupation
J-10114	EXP. INTERVENTION	Occupation
J-MVC12	EXP. INTERVENTION	Occupation
J-LPENY	EXP. INTERVENTION	Occupation
J-A1015	EXP. INTERVENTION	Occupation
J-A1590	EXP. INTERVENTION	Occupation
J-YY050	EXP. INTERVENTION	Occupation
J-YSIVV	EXP. INTERVENTION	Occupation
J-YDEPO	EXP. INTERVENTION	Occupation
J-B6070	EXP. INTERVENTION	Occupation
J-Y1FLU	EXP. INTERVENTION	Occupation
J-YY238	EXP. INTERVENTION	Occupation
J-YY130	EXP. INTERVENTION	Occupation
J-YY239	EXP. INTERVENTION	Occupation
J-YY129	EXP. INTERVENTION	Occupation
J-F3371	EXP. INTERVENTION	Occupation
J-B9020	EXP. INTERVENTION	Occupation
J-YY132	EXP. INTERVENTION	Occupation
J-CB554	EXP. INTERVENTION	Occupation
J-CB544	EXP. INTERVENTION	Occupation
J-144YY	EXP. INTERVENTION	Occupation
J-YY147	EXP. INTERVENTION	Occupation
J-Y1100	EXP. INTERVENTION	Occupation
J-C1DF1	EXP. INTERVENTION	Occupation
J-YY156	EXP. INTERVENTION	Occupation
J-YY173	EXP. INTERVENTION	Occupation
J-D60D0	EXP. INTERVENTION	Occupation
J-CLDL1	EXP. INTERVENTION	Occupation
J-YY199	EXP. INTERVENTION	Occupation
J-E4596	EXP. INTERVENTION	Occupation
J-YY206	EXP. INTERVENTION	Occupation
J-YY181	EXP. INTERVENTION	Occupation
J-YY143	EXP. INTERVENTION	Occupation
J-YY097	EXP. INTERVENTION	Occupation
J-YY241	EXP. INTERVENTION	Occupation
T-00010	EXP. INTERVENTION	Topography
T-XX020	EXP. INTERVENTION	Topography
T-XY000	EXP. INTERVENTION	Topography
T-Y9700	EXP. INTERVENTION	Topography
T-Y9403	EXP. INTERVENTION	Topography
T-10600	EXP. INTERVENTION	Topography
T-X7560	EXP. INTERVENTION	Topography
T-25020	EXP. INTERVENTION	Topography
T-Y1051	EXP. INTERVENTION	Topography
T-A2262	EXP. INTERVENTION	Topography
T-6Y000	EXP. INTERVENTION	Topography
T-2X110	EXP. INTERVENTION	Topography
T-X5151	EXP. INTERVENTION	Topography
T-05230	EXP. INTERVENTION	Topography
T-63850	EXP. INTERVENTION	Topography
T-YY300	EXP. INTERVENTION	Topography
T-Y1110	EXP. INTERVENTION	Topography
T-64000	EXP. INTERVENTION	Topography
T-69000	EXP. INTERVENTION	Topography
T-Y1231	EXP. INTERVENTION	Topography
T-78800	EXP. INTERVENTION	Topography
T-49430	EXP. INTERVENTION	Topography
T-XY080	EXP. INTERVENTION	Topography
T-25100	EXP. INTERVENTION	Topography
M-YY012	EXP. INTERVENTION	Morphology
M-36500	EXP. INTERVENTION	Morphology
M-76540	EXP. INTERVENTION	Morphology
M-10410	EXP. INTERVENTION	Morphology
M-37100	EXP. INTERVENTION	Morphology
M-YY023	EXP. INTERVENTION	Morphology
M-14200	EXP. INTERVENTION	Morphology
E-YY433	EXP. INTERVENTION	Etiology
E-90110	EXP. INTERVENTION	Etiology
E-85150	EXP. INTERVENTION	Etiology
E-85540	EXP. INTERVENTION	Etiology
E-83120	EXP. INTERVENTION	Etiology
E-YY092	EXP. INTERVENTION	Etiology
E-73580	EXP. INTERVENTION	Etiology
F-04540	EXP. INTERVENTION	Function
F-01704	EXP. INTERVENTION	Function
F-01790	EXP. INTERVENTION	Function
F-YYSID	EXP. INTERVENTION	Function
F-ZX999	EXP. INTERVENTION	Function
F-AA554	EXP. INTERVENTION	Function
F-YY032	EXP. INTERVENTION	Function
F-30670	EXP. INTERVENTION	Function
F-YY4XD	EXP. INTERVENTION	Function
F-YYFEC	EXP. INTERVENTION	Function
F-YYMAG	EXP. INTERVENTION	Function
P-YY104	EXP. INTERVENTION	Procedure
P-YY016	EXP. INTERVENTION	Procedure
P-10550	EXP. INTERVENTION	Procedure
P-I5004	EXP. INTERVENTION	Procedure
P-YY007	EXP. INTERVENTION	Procedure
P-Y1240	EXP. INTERVENTION	Procedure
P-11600	EXP. INTERVENTION	Procedure
P-E2770	EXP. INTERVENTION	Procedure
P-1278I	EXP. INTERVENTION	Procedure
P-16040	EXP. INTERVENTION	Procedure
P-YYPFT	EXP. INTERVENTION	Procedure
P-Y8970	EXP. INTERVENTION	Procedure
P-02340	EXP. INTERVENTION	Procedure
P-16500	EXP. INTERVENTION	Procedure
P-17000	EXP. INTERVENTION	Procedure
P-13400	EXP. INTERVENTION	Procedure
P-YY106	EXP. INTERVENTION	Procedure
P-D5705	EXP. INTERVENTION	Procedure
P-11480	EXP. INTERVENTION	Procedure
P-17910	EXP. INTERVENTION	Procedure
P-YY025	EXP. INTERVENTION	Procedure
P-YY027	EXP. INTERVENTION	Procedure
J-S137M	EXP. INTERVENTION	Occupation
J-Y0163	EXP. INTERVENTION	Occupation
J-11313	EXP. INTERVENTION	Occupation
J-31314	EXP. INTERVENTION	Occupation
J-Y0065	EXP. INTERVENTION	Occupation
J-27110	EXP. INTERVENTION	Occupation
J-WYE19	EXP. INTERVENTION	Occupation
J-YY060	EXP. INTERVENTION	Occupation
J-YY175	EXP. INTERVENTION	Occupation
J-YYLEN	EXP. INTERVENTION	Occupation
J-Y0034	EXP. INTERVENTION	Occupation
J-YY115	EXP. INTERVENTION	Occupation
J-98410	EXP. INTERVENTION	Occupation
J-YY128	EXP. INTERVENTION	Occupation
J-YTOXB	EXP. INTERVENTION	Occupation
J-Y1315	EXP. INTERVENTION	Occupation
J-Y1316	EXP. INTERVENTION	Occupation
J-YADLB	EXP. INTERVENTION	Occupation
J-YLIPC	EXP. INTERVENTION	Occupation
J-Y0006	EXP. INTERVENTION	Occupation
J-YY134	EXP. INTERVENTION	Occupation
J-YY146	EXP. INTERVENTION	Occupation
J-YY145	EXP. INTERVENTION	Occupation
J-YY155	EXP. INTERVENTION	Occupation
J-YY159	EXP. INTERVENTION	Occupation
J-YY177	EXP. INTERVENTION	Occupation
J-YG18P	EXP. INTERVENTION	Occupation
J-GY102	EXP. INTERVENTION	Occupation
J-YY196	EXP. INTERVENTION	Occupation
J-YHU10	EXP. INTERVENTION	Occupation
J-PC7Y1	EXP. INTERVENTION	Occupation
J-YA001	EXP. INTERVENTION	Occupation
J-YY203	EXP. INTERVENTION	Occupation
J-YB5R2	EXP. INTERVENTION	Occupation
J-YY144	EXP. INTERVENTION	Occupation
J-YY185	EXP. INTERVENTION	Occupation
J-YY205	EXP. INTERVENTION	Occupation
J-YY211	EXP. INTERVENTION	Occupation
J-YY229	EXP. INTERVENTION	Occupation
J-YY240	EXP. INTERVENTION	Occupation
T-Y0100	EXP. TREATMENT,NSCHD	Topography
T-8X220	EXP. TREATMENT,NSCHD	Topography
T-YY012	EXP. TREATMENT,NSCHD	Topography
