code	meaning
M-41540	INFLAMMATION, ACUTE MEMBRANOUS
M-41590	INFLAMMATION, ACUTE PSEUDOMEMBRANOUS
M-41600	INFLAMMATION, ACUTE HEMORRHAGIC
M-41601	INFLAMMATION, ACUTE, HEMORRHAGIC, FOCAL
M-41700	INFLAMMATION, ACUTE NECROTIZING
M-41740	ABSCESS, NOS
M-41741	ABSCESS, FOCAL
M-41750	INFLAMMATION, ACUTE PUSTULAR
M-41760	FURUNCLE
M-41770	ABSCESS, DRAINING
M-41780	MICROABSCESS
M-41783	MICROABSCESS, MULTIFOCAL
M-41800	INFLAMMATION, ACUTE VESICULAR, NOS
M-41810	INFLAMMATION, ACUTE BULLOUS, NOS
M-42000	INFLAMMATION, SUBACUTE, NOS
M-42100	ACUTE AND CHRONIC INFLAMMATION, NOS
M-43000	INFLAMMATION, CHRONIC, NOS
M-43001	INFLAMMATION, CHRONIC FOCAL
M-43030	INFLAMMATION, CHRONIC ULCERATIVE
M-43039	INFLAMMATION, HEALED CHRONIC ULCERATIVE
M-43080	INFLAMMATION, FOLLICULAR
M-43140	CHRONIC INTERSTITIAL PNEUMONIA
M-43141	FOCAL INTERSTITIAL PNEUMONITIS
M-43180	MALAKOPLAKIA
M-43200	INFLAMMATION, CHRONIC DIFFUSE
M-43400	INFLAMMATION, CHRONIC EXUDATIVE, NOS
M-43700	INFLAMMATION, CHRONIC NECROTIZING, NOS
M-43740	ABSCESS, CHRONIC
M-43800	INFLAMMATION, CHRONIC CYSTIC, NOS
M-44000	INFLAMMATION, GRANULOMATOUS, NOS
M-44001	INFLAMMATION, FOCAL GRANULOMATOUS
M-44040	XANTHOGRANULOMA
M-44050	EOSINOPHILIC GRANULOMA
M-44060	INFLAMMATION, MILIARY GRANULOMATOUS
M-44140	REACTION, FOREIGN BODY, NOS
M-44180	SPERMATOGENIC GRANULOMA
M-44200	INFLAMMATION, NON-NECROTIZING GRANULOMATOUS
M-44400	INFLAMMATION, EXUDATIVE GRANULOMATOUS, NOS
M-44440	GRANULOMA PYOGENICUM
M-44700	INFLAMMATION, NECROTIZING, GRANULOMATOUS
M-44750	NOMA
M-44760	INFLAMMATION, CALCIFIED GRANULOMATOUS
M-44800	INFLAMMATION, VESICULAR
M-44900	INFLAMMATION, FIBRINOID NECROTIZING, NOS
M-45000	INFLAMMATION WITH FIBROSIS, NOS
M-45020	GRANULATION TISSUE, NOS
M-45080	PANNUS
M-45600	INFLAMMATION WITH FAT NECROSIS, NOS
M-45650	INJECTION SITE GRANULOMA
M-45800	INFLAMMATION, SYMPATHETIC
M-46000	INFLAMMATION WITH MECHANICAL ABNORMALITY, NOS
M-46050	INFLAMMATION WITH THROMBOSIS, NOS
M-46070	ENDOCARDITIS, VERRUCOUS
M-46200	INFLAMMATION WITH CAVITATION, NOS
M-46209	INFLAMMATION WITH CAVITATION, CHRONIC
M-46240	CAVITY, ABSCESS
M-46300	INFLAMMATION WITH FISTULA, NOS
M-46340	INFLAMMATORY SINUS TRACT, NOS
M-46360	FISSURE, NOS
M-46400	INFLAMMATION WITH STASIS, NOS
M-46420	DIVERTICULITIS, NOS
M-46500	INFLAMMATION FROM OCCLUSION, NOS
M-46700	INFLAMMATION, PROLIFERATIVE NOS
M-46701	INFLAMMATION, PROLIFERATIVE, FOCAL
M-46810	GLOMERULONEPHRITIS, PROLIFERATIVE
M-46840	GLOMERULONEPHRITIS, MEMBRANOPROLIFERATIVE
M-47000	INFLAMMATORY CELL INFILTRATION, NOS
M-47110	INFLAMMATORY CELL INFILTRATION, ACUTE, NOS
M-47120	INFLAMMATORY CELL INFILTRATION, SUBACUTE, NOS
M-47150	EOSINOPHILIC INFILTRATION
M-47160	INFLAMMATORY CELL INFILTRATION, CHRONIC, NOS
M-47170	LYMPHOCYTIC INFILTRATE
M-47180	HISTOCYTIC INFILTRATE
M-47190	LYMPHORETICULAR CELL INFILTRATION
M-47191	LYMPHOCYTIC INFLAMMATORY CELL INFILTRATE, FOCAL
M-47200	PLASMA CELL INFILTRATION
M-47400	FOLLICULITIS, NOS
M-47410	FOLLICULITIS, SUPERFICIAL
M-47420	FOLLICULITIS, DEEP
M-47600	CONTACT DERMATITIS, NOS
M-47610	ALLERGIC CONTACT DERMATITIS, NOS
M-47700	GENERALIZED INFLAMMATORY CONDITION, NOS
M-47710	POLYMYOSITIS
M-47720	POLYARTERITIS, NOS
M-47780	POLYARTHRITIS
M-47800	PERIVASCULITIS
M-48000	DERMATITIS, ECZEMATOUS, NOS
M-48150	PERIORAL DERMATITIS
M-48180	DIAPER DERMATITIS
M-48190	EXFOLIATIVE DERMATITIS, GENERALIZED, NOS
M-48400	ERYTHEMA, NOS
M-48540	DERMATITIS MEDICAMENTOSA
M-48620	TOXIC EPIDERMAL NECROLYSIS
M-48800	INFLAMMATORY HYPERKERATOTIC DERMATOSIS, NOS
M-48820	SEBORRHEIC DERMATITIS
M-48830	PSORIASIS, NOS
M-48840	PSORIASIS, NOS
M-48880	PITYRIASIS ROSEA
M-48890	LICHEN PLANUS, NOS
M-49000	FIBROSIS, NOS
M-49001	FIBROSIS, FOCAL
M-49002	FIBROSIS, DIFFUSE
M-49004	FIBROSIS, MULTIFOCAL
M-49020	FIBROSCLEROSIS
F-50010	HEMATOPOIESIS, NOS
F-50020	ERYTHROCYTE LIFE SPAN, NOS
F-50040	GRANULOCYTE LIFE SPAN, NOS
F-50060	PLATELET LIFE SPAN, NOS
F-50100	BLOOD GROUP ANTIGEN, NOS
F-51600	BLOOD GROUP ANTIBODY, NOS
F-53000	COAGULATION FACTOR, NOS
F-53010	FIBRINOGEN
F-53013	FIBRINOGEN, INCREASED
F-53020	COAGULATION FACTOR II
F-53030	COAGULATION FACTOR III
F-53040	COAGULATION FACTOR IV
F-53050	COAGULATION FACTOR V
F-53060	COAGULATION FACTOR VII
F-53070	COAGULATION FACTOR VIII
F-53080	COAGULATION FACTOR IX
F-53090	COAGULATION FACTOR X
F-53100	COAGULATION FACTOR XI
F-53110	COAGULATION FACTOR XII
F-53120	COAGULATION FACTOR XIII
F-53150	PLASMINOGEN
F-53160	PLASMIN
F-53200	FIBRINOGEN DEGRADATION PRODUCT (FDP), NOS
F-53500	COAGULATION FACTOR INHIBITOR, NOS
F-53800	HEMATOLOGIC FUNCTION, NOS
F-53810	ERYTHROCYTE PRODUCTION, NOS
F-53812	ERYTHROCYTE PRODUCTION, ABNORMAL
F-53813	ERYTHROCYTE PRODUCTION, INCREASED
F-53814	ERYTHROCYTE PRODUCTION, DECREASED
F-53820	ERYTHROCYTE DESTRUCTION, NOS
F-53823	ERYTHROCYTE DESTRUCTION, INCREASED
F-53824	ERYTHROCYTE DESTRUCTION, DECREASED
F-53830	GRANULOCYTE PRODUCTION, NOS
F-53832	GRANULOCYTE PRODUCTION, ABNORMAL
F-53833	GRANULOCYTE PRODUCTION, INCREASED
F-53834	GRANULOCYTE PRODUCTION, DECREASED
F-53840	GRANULOCYTE DESTRUCTION, NOS
F-53843	GRANULOCYTE DESTRUCTION, INCREASED
F-53844	GRANULOCYTE DESTRUCTION, DECREASED
F-53850	LYMPHOCYTE PRODUCTION, NOS
F-53853	LYMPHOCYTE PRODUCTION, INCREASED
F-53854	LYMPHOCYTE PRODUCTION, DECREASED
F-53860	LYMPHOCYTE DESTRUCTION, NOS
F-53863	LYMPHOCYTE DESTRUCTION, INCREASED
F-53864	LYMPHOCYTE DESTRUCTION, DECREASED
F-53870	PLATELET PRODUCTION, NOS
F-53873	PLATELET PRODUCTION, INCREASED
F-53874	PLATELET PRODUCTION, DECREASED
F-53880	PLATELET DESTRUCTION, NOS
F-53883	PLATELET DESTRUCTION, INCREASED
F-53884	PLATELET DESTRUCTION, DECREASED
F-53890	LEUKOCYTIC PHAGOCYTOSIS
F-53900	HEMOLYSIS, NOS
F-53910	HEMOLYTIC CRISIS
F-53920	APLASTIC CRISIS
F-53960	FRAGILITY, NOS
F-53970	FRAGILITY, OSMOTIC
F-53973	FRAGILITY, OSMOTIC, INCREASED
F-53974	FRAGILITY, OSMOTIC, DECREASED
F-53980	FRAGILITY, MECHANICAL
F-54300	HEMOSTATIC FUNCTION, NOS
F-54302	HEMOSTATIC FUNCTION, ABNORMAL
F-54340	FIBRINOLYSIS, NOS
F-54360	HYPERCOAGULABILITY STATE, NOS
F-54380	PLATELET AGGREGATION
F-54600	HEMATOLOGIC FACTOR, NOS
F-54620	ERYTHROPOIETIN
F-60000	DIGESTIVE TRACT FUNCTION, NOS
F-60002	DIGESTIVE TRACT FUNCTION, ABNORMAL
F-60010	FOOD APPETITE, NOS
F-60013	FOOD APPETITE, INCREASED
F-60014	ANOREXIA  (FOOD APPETITE, DECREASED)
F-60020	HUNGER, FOOD
F-60100	OVEREATING, NOS
F-60120	OVEREATING, HABITUAL
F-60240	STEATORRHEA, NOS
F-60260	DRINKING
F-60270	POLYDIPSIA
F-60290	INGESTION
F-60300	ORAL CAVITY FUNCTION, NOS
F-60310	TOOTH ERUPTION, NOS
F-60312	TOOTH ERUPTION, ABNORMAL
F-60340	TOOTH ATRITION, NOS
F-60342	TOOTH ATTRITION, ABNORMAL
F-60360	TOOTH WEAR, OCCLUSAL
F-60400	GINGIVAL RECESSION, NOS
F-60410	GINGIVAL RECESSION, LOCALIZED
F-60420	GINGIVAL RECESSION, GENERALIZED
F-60430	MALOCCLUSION, NOS
F-60500	OVERBITE, NOS
F-60660	ABNORMAL JAW CLOSURE
F-60690	HALITOSIS
F-60700	MASTICATION
F-60710	EXPECTORATION, SPUTUM
F-60730	CHEILODYNIA
F-60800	SALIVARY SECRETION, NOS
F-60802	SALIVARY SECRETION, ABNORMAL
F-60803	SALIVARY SECRETION, INCREASED
F-60804	SALIVARY SECRETION, DECREASED
F-60805	SALIVARY SECRETION, ABSENT
F-60820	SALIVARY REFLEX, NOS
F-60900	DEGLUTITION, NOS
F-60905	DEGLUTITION, ABSENT
F-60940	SWALLOWING REFLEX
F-61000	ODYNOPHAGIA
F-61020	DYSPHAGIA
F-61030	ACHALASIA, NOS
F-61070	ERUCTATION
F-61100	GASTRIC SECRETION, NOS
F-61300	GASTRIC ACIDITY, NOS
F-61303	GASTRIC ACIDITY, INCREASED
F-61304	GASTRIC ACIDITY, DECREASED
F-61320	BLOATING
F-61340	GASTRO-ESOPHAGEAL REFLUX
F-61360	GASTRIC MOTILITY, NOS
F-61420	GASTRIC FILLING
F-61430	GASTRIC EMPTYING
F-61460	PERISTALSIS, DIGESTIVE
F-61463	PERISTALSIS, DIGESTIVE, INCREASED
F-61464	PERISTALSIS, DIGESTIVE, DECREASED
F-61500	GASTRIC TONUS, NOS
F-61503	GASTRIC TONUS, INCREASED
F-61504	GASTRIC TONUS, DECREASED
F-61560	NAUSEA
F-61570	VOMITING, NOS
F-61590	VOMITING, CYCLICAL
F-61620	VOMITING, PERSISTENT
F-61630	VOMITING, PROJECTILE
F-61660	RETCHING
F-61680	REGURGITATION
F-61700	PANCREATIC SECRETION, NOS
F-61703	PANCREATIC SECRETION, INCREASED
F-61704	PANCREATIC SECRETION, DECREASED
F-61850	PANCREATIC INSUFFICIENCY
F-61860	PANCREATIC STEATORRHEA
F-61900	SMALL INTESTINE, SECRETION, NOS
F-62000	INTESTINAL ABSORPTION, NOS
F-62001	INTESTINAL ABSORPTION, NORMAL
F-62002	INTESTINAL ABSORPTION, ABNORMAL
F-62100	SMALL BOWEL MOTILITY, NOS
F-62101	SMALL BOWEL MOTILITY, NORMAL
F-62102	SMALL BOWEL MOTILITY, ABNORMAL
F-62150	ENTEROSPASM
F-62210	TYMPANITES
F-62220	LARGE BOWEL MOTILITY, NOS
F-62250	LARGE BOWEL, IRRITABLE
F-62260	FLATULENCE
F-62300	BOWEL SOUNDS, NOS
F-62303	BOWEL SOUNDS, INCREASED
F-62304	BOWEL SOUNDS, DECREASED
F-62305	BOWEL SOUNDS, ABSENT
F-62310	STRAINING AT STOOL
F-62320	DEFECATION
F-62350	CONSTIPATION
F-62360	OBSTIPATION
F-62400	DIARRHEA, NOS
F-62440	DIARRHEA, NERVOUS
F-62470	BULKY STOOL
F-62500	ANAL FUNCTION, NOS
F-62502	ANAL FUNCTION, ABNORMAL
F-62510	EXTERNAL ANAL SPHINCTER, RELAXATION
F-62550	TENESMUS, RECTAL
F-62600	LIVER FUNCTION, NOS
F-62602	LIVER FUNCTION, ABNORMAL
F-62603	LIVER FUNCTION, INCREASED
F-62604	LIVER FUNCTION, DECREASED
F-62605	LIVER FUNCTION FAILURE
F-62700	BILE SECRETION, NOS
F-62701	BILE SECRETION, NORMAL
F-62702	BILE SECRETION, ABNORMAL
F-62910	BILE PIGMENT RETENTION
F-62960	GALLBLADDER FUNCTION, NOS
F-62961	GALLBLADDER FUNCTION, NORMAL
F-62962	GALLBLADDER FUNCTION, ABNORMAL
F-63000	GALLBLADDER, CONTRACTION, NOS
F-63003	GALLBLADDER, CONTRACTION, INCREASED
F-63130	SPHINCTER OF ODDI, RELAXATION
F-63140	SPHINCTER OF ODDI, SPASM
F-65000	URINARY TRACT FUNCTION, NOS
F-65010	RENAL FUNCTION, NOS
F-65011	RENAL FUNCTION, NORMAL
F-65012	RENAL FUNCTION, ABNORMAL
F-65013	RENAL FUNCTION, INCREASED
F-65014	RENAL FUNCTION, DECREASED
F-65100	GLOMERULAR FILTRATION, NOS
F-65110	GLOMERULAR FILTRATION RATE, NOS
F-65200	RENAL CLEARANCE, NOS
F-65203	RENAL CLEARANCE, INCREASED
F-65204	RENAL CLEARANCE, DECREASED
F-65410	RENAL BLOOD FLOW
F-65430	RENAL FRACTION OF CARDIAC OUTPUT
F-65500	DIURESIS, OSMOTIC
F-65520	DIURESIS, WATER
F-65530	DIURESIS, THERAPEUTIC
F-65550	URINARY CONCENTRATION
F-65610	IMPAIRMENT OF URINARY CONCENTRATION
F-65670	URETERAL FUNCTION, NOS
F-65800	BLADDER FUNCTION, NOS
F-65802	BLADDER DYSFUNCTION, NOS
F-65840	URETHRAL RESISTANCE
F-65850	BLADDER CONTINENCE, NOS
F-65852	BLADDER CONTINENCE, ABNORMAL
F-65855	BLADDER CONTINENCE, ABSENCE
F-65870	BLADDER INCONTINENCE, STRESS
F-65930	MICTURITION
F-66000	URINARY STREAM, NOS
F-66001	URINARY STREAM, NORMAL
F-66002	URINARY STREAM, ABNORMAL
F-66040	URINARY FREQUENCY
F-66100	URINE VOLUME, NOS
F-66103	URINE VOLUME, INCREASED
F-66104	URINE VOLUME, DECREASED
F-66105	URINE VOLUME, ABSENCE
F-66130	BACTERIURIA  (T-7X100) (E-.....)
F-66200	DYSURIA, NOS
F-66310	TENESMUS, URINARY
F-70000	CARDIOVASCULAR FUNCTION, NOS
F-70001	CARDIOVASCULAR FUNCTION, NORMAL
F-70002	CARDIOVASCULAR FUNCTION, ABNORMAL, NOS
F-70010	SHOCK, NOS
F-70020	SHOCK, CARDIOGENIC
F-70030	SHOCK, NEUROGENIC
F-70040	SHOCK, HYPOVOLEMIC
F-70050	SHOCK, ENDOTOXIC
F-70060	SHOCK, HEMORRHAGIC
F-70070	SHOCK, ANAPHYLACTIC
F-70100	BLOOD VOLUME, NOS
F-70101	BLOOD VOLUME, NORMAL
F-70103	BLOOD VOLUME, INCREASED
F-70104	BLOOD VOLUME, DECREASED
F-70120	BLOOD VESSEL PERMEABILITY, NOS
F-70123	BLOOD VESSEL PERMEABILITY, INCREASED
F-70124	BLOOD VESSEL PERMEABILITY, DECREASED
F-70200	CARDIAC FUNCTION, NOS
F-70203	CARDIAC FUNCTION, INCREASED
F-70204	CARDIAC FUNCTION, DECREASED
F-70280	CARDIAC END DIASTOLIC VOLUME
F-70300	CARDIAC OUTPUT, NOS
F-70303	CARDIAC OUTPUT, INCREASED
F-70304	CARDIAC OUTPUT, DECREASED
F-70330	CARDIAC TAMPONADE  (T-32000)
F-70340	CARDIAC ARREST  (T-32000)
F-70360	ELECTRO-MECHANICAL
F-70400	CARDIAC FLOW, NOS
F-70401	CARDIAC FLOW, NORMAL
F-70402	CARDIAC FLOW, ABNORMAL, NOS
F-70420	SHUNT, NOS
F-70430	LEFT TO RIGHT SHUNT
F-70440	RIGHT TO LEFT SHUNT
F-70450	RIGHT ATRIAL TO LEFT VENTRICULAR SHUNT
F-70460	BIDIRECTIONAL SHUNT
F-70500	VALVULAR REGURGITATION, NOS  (T-35000)
F-70520	VALVULAR REGURGITATION, CONGENITAL, NOS  (T-35000) (E-01100)
F-70600	BLOOD PRESSURE, NOS
F-70601	BLOOD PRESSURE, NORMAL
F-70602	BLOOD PRESSURE, ABNORMAL, NOS
F-70603	BLOOD PRESSURE, INCREASED
F-70700	HYPERTENSION, NOS
F-71100	HYPOTENSION, NOS
F-71600	PULSE, NOS
F-71610	PULSUS ALTERNANS
F-71720	PULSE, INTERMITTENT
F-71760	PULSE, ALLORHYTHMIC
F-71810	PULSE, THREADY
F-71840	PULSE, PERIPHERAL, NOS
F-71841	PULSE, PERIPHERAL, NORMAL
F-71842	PULSE, PERIPHERAL, ABNORMAL
F-71850	PULSE, RADIAL, NOS
F-71851	PULSE, RADIAL, NORMAL
F-71852	PULSE, RADIAL, ABNORMAL
F-71870	PULSE, FEMORAL, NOS
F-71871	PULSE, FEMORAL, NORMAL
F-71872	PULSE, FEMORAL, ABNORMAL
F-71920	PULSE RATE, NOS
F-72100	VASCULAR FLOW, NOS
F-72101	VASCULAR FLOW, NORMAL
F-72102	VASCULAR FLOW, ABNORMAL
F-72103	VASCULAR FLOW, INCREASED
F-72104	VASCULAR FLOW, DECREASED
F-72180	VASCULAR FLOW, SHUNTING
F-72190	VASCULAR IMPEDANCE, NOS
F-72200	VASCULAR INSUFFICIENCY, NOS
F-72240	ISCHEMIA, NOS
F-72300	CAPILLARY FILLING, NOS
F-72301	CAPILLARY FILLING, NORMAL
F-72302	CAPILLARY FILLING, ABNORMAL
F-72303	CAPILLARY FILLING, INCREASED
F-72304	CAPILLARY FILLING, DECREASED
F-72400	ORGAN OR TISSUE VASCULAR PERFUSION, NOS
F-72403	ORGAN OR TISSUE VASCULAR PERFUSION, INCREASED
F-72404	ORGAN OR TISSUE VASCULAR PERFUSION, DECREASED
F-73100	CARDIAC RHYTHM, NOS
F-73101	CARDIAC RHYTHM, NORMAL
F-73102	CARDIAC RHYTHM, ABNORMAL, NOS
F-73120	CARDIAC RATE, NOS
F-73121	CARDIAC RATE, NORMAL
F-73122	CARDIAC RATE, ABNORMAL, NOS
F-73140	TACHYCARDIA, NOS
F-73160	BRADYCARDIA, NOS
F-73170	BRADYCARDIA, VAGAL
F-73180	ECTOPIC RHYTHM, NOS
F-73220	FIBRILLATION, NOS
F-73270	GALLOP RHYTHM
F-73300	ARRHYTHMIA, SINUS NODE, NOS
F-73310	SINUS BRADYCARDIA
F-73360	SINUS ARRHYTHMIA
F-73380	SINUS TACHYCARDIA
F-73400	ARRHYTHMIA, ATRIAL, NOS
F-73410	ECTOPIC ATRIAL BEATS, NOS
F-73560	ATRIAL FLUTTER
F-73570	ATRIAL FIBRILLATION
F-73600	ARRHYTHMIA, AV NODE, NOS
F-73700	ARRHYTHMIA, VENTRICULAR, NOS
F-73710	PREMATURE VENTRICULAR CONTRACTIONS, NOS (PVCS) (VPCS)
F-73720	PVCS, UNIFOCAL
F-73730	PVCS, MULTIFOCAL
F-73740	FUSION (DRESSLER) BEATS
F-73750	BIGEMINY
F-73900	CONDUCTION DEFECT, NOS
F-73910	CARDIAC CONDUCTION, NOS
F-73911	CARDIAC CONDUCTION, NORMAL
F-73912	CARDIAC CONDUCTION, ABNORMAL, NOS
F-73920	HEART BLOCK, NOS
F-74100	EKG AXIS FINDING, NOS
F-74120	RIGHT AXIS DEVIATION, EKG
F-74130	LEFT AXIS DEVIATION, EKG
F-74160	DEXTROCARDIA/SITUS INVERSUS FINDING
F-74210	EKG HYPERTROPHY  (CODE TO STRUCTURE)
F-74270	EKG FINDINGS OF INFARCTION
F-74290	S-T CHANGES
F-74310	Q-T INTERVAL, NOS
F-74400	HEART SOUND, NOS
F-74410	FIRST HEART SOUND (S1), NOS
F-74411	FIRST HEART SOUND (S1), NORMAL
F-74412	FIRST HEART SOUND (S1), ABNORMAL
F-74440	SECOND HEART SOUND (S2), NOS
F-74441	SECOND HEART SOUND (S2), NORMAL
F-74442	SECOND HEART SOUND (S2), ABNORMAL
F-74550	SYSTOLIC EJECTION SOUND
F-74600	CARDIAC MURMUR, NOS
F-74610	HEART MURMUR, FUNCTIONAL
F-74620	HEART MURMUR, ORGANIC
F-74640	SYSTOLIC MURMUR, NOS
F-74650	PANSYSTOLIC MURMUR
F-74700	DIASTOLIC MURMUR, NOS
F-74740	CONTINUOUS MURMUR
F-74750	PERICARDIAL FRICTION RUB  (T-31...)
F-74760	THRILL
F-74800	VASOMOTOR FUNCTION, NOS
F-74830	ARTERIOSPASM  (T-4....)
F-74840	VENOSPASM  (T-4....)
F-74880	VASCULAR CONSTRICTION, NOS
F-74900	VASCULAR DILATATION, NOS
F-75000	RESPIRATORY FUNCTION, NOS
F-75001	RESPIRATORY FUNCTION, NORMAL
F-75002	RESPIRATORY FUNCTION, ABNORMAL, NOS
F-75004	RESPIRATORY FUNCTION, DECREASED
F-75010	RESPIRATORY FAILURE, NOS
F-75040	DYSPNEA, NOS
F-75110	CHOKING
F-75150	ASPHYXIA, NOS
F-75230	AIRWAY CONSTRICTION, NOS
F-75420	RHINORRHEA
F-75600	RESPIRATORY RATE, NOS
F-75601	RESPIRATORY RATE, NORMAL
F-75603	TACHYPNEA
F-75605	APNEA
F-75610	PANTING
F-75620	RAPID SHALLOW BREATHING
F-75630	APNEUSTIC BREATHING
F-75650	SHALLOW BREATHING
F-75660	DEEP BREATHING
F-75700	RESPIRATORY RHYTHM, NOS
F-75702	RESPIRATORY RHYTHM, ABNORMAL, NOS
F-75720	CHEYNE-STOKES RESPIRATION
F-75800	RESPIRATORY SOUNDS, NOS
F-75802	RESPIRATORY SOUNDS, ABNORMAL, NOS
F-75810	RESPIRATORY SOUNDS, VESICULAR
F-75820	RESPIRATORY SOUNDS, BRONCHOVESICULAR
F-75860	COUGH, NOS
F-75970	RHONCHI, NOS
F-76000	RALES, NOS
F-76010	RALES, INSPIRATORY
F-76020	RALES, EXPIRATORY
F-76110	WHEEZING, NOS
F-76140	STRIDOR
F-76180	CREPITATION
F-76210	SUPERFICIAL CRACKLING RALES
F-76230	SNEEZING
F-76300	RESONANCE, NOS
F-76303	HYPERRESONANCE
F-76304	HYPORESONANCE
F-76340	TYMPANY, NOS
F-76450	RESPIRATORY MOVEMENT, NOS
F-76460	RESPIRATORY MOVEMENT, PREDOMINANTLY INTERCOSTAL
F-76470	RESPIRATORY MOVEMENT, PREDOMINANTLY DIAPHRAGMATIC
F-76480	RESPIRATORY MOVEMENT, ACCESSORY MUSCLE, NOS
F-76500	VENTILATION, NOS
F-76530	VENTILATORY DEFECT, NOS
F-76540	HYPERVENTILATION, NOS
F-76570	HYPOVENTILATION, NOS
F-76800	REGIONAL VENTILATION DIFFERENCES, NOS
F-77000	LUNG VOLUME, NOS
F-77050	TOTAL LUNG CAPACITY (TLC)
F-77060	VITAL CAPACITY (VC)
F-77080	RESIDUAL VOLUME (RV)
F-77170	TIDAL VOLUME (VT)
F-78210	AIRWAY RESISTANCE (RAW)
F-78880	COUGH REFLEX
F-78910	EPIGLOTTIC FUNCTION
F-79000	ASPIRATION, NOS
F-79010	ASPIRATION, FOREIGN BODY
F-79020	ASPIRATION, GASTRIC CONTENTS
F-79030	ASPIRATION, FOOD MATERIAL
F-79040	ASPIRATION, TOOTH OR DENTAL MATERIAL
F-79050	ASPIRATION, MECONIUM
F-79080	ASPIRATION, FLUID UNSPECIFIED
F-79090	ASPIRATION, BLOOD
F-79100	ASPIRATION, OTHER  (E-.....)
F-79300	DIAPHRAGMATIC MOVEMENT, NOS
F-79302	DIAPHRAGMATIC MOVEMENT, ABNORMAL
F-80000	NERVOUS SYSTEM FUNCTION, NOS
F-80002	NERVOUS SYSTEM DISORDER, NOS
F-80173	HYPERTONUS, MUSCULAR
F-80174	HYPOTONUS, MUSCULAR
F-80175	ATONY, MUSCULAR
F-80210	CONDUCTION RATE, NERVE CELL AND NERVE FIBER
F-80600	MUSCLE PROPERTY AND FUNCTION, NOS
F-80620	MUSCLE CONTRACTION
F-80630	MUSCLE RELAXATION
F-80780	DENERVATION, NOS
F-80800	MOTOR FUNCTION, NOS
F-80810	MOTOR DISORDER, NOS
F-80840	PARALYSIS, NOS
F-80850	PARESIS, NOS
F-80870	FLACCIDITY, MUSCULAR
F-80880	SPASTICITY, MUSCULAR
F-80900	MUSCULAR PARALYSIS, NEUROLOGICAL, NOS
F-80910	MUSCLE WEAKNESS, NEUROLOGICAL
F-80920	FLACCID PARALYSIS, NOS
F-80940	SPASTIC PARALYSIS, NOS
F-80950	QUADRIPLEGIA
F-80960	QUADRIPARESIS
F-81000	HEMIPLEGIA, NOS
F-81070	PARAPLEGIA, NOS
F-81080	MOTOR LEVEL SPINAL PARALYSIS  (CODE TO T)
F-81200	HEMIPARESIS, NOS
F-81260	PARAPARESIS, NOS
F-81270	MOTOR LEVEL SPINAL WEAKNESS  (CODE TO T)
F-81340	HYPERKINESIA
F-81360	HYPOKINESIA
F-81370	TRISMUS
F-81380	SPASM
F-81390	CRAMP
F-81410	TORTICOLLIS
F-81420	TETANY
F-81430	OPISTHOTONUS
F-81440	CLONUS
F-81450	MUSCULAR RIGIDITY
F-81470	FASCICULATION
F-81520	POSTURE, NOS
F-81530	BODY POSITION, ORTHOSTATIC
F-81540	KNEELING
F-81550	BODY POSITION, SUPINE
F-81600	REFLEX, NOS
F-81603	HYPERREFLEXIA
F-81604	HYPOREFLEXIA
F-81605	REFLEX, ABSENT
F-81620	PATELLAR REFLEX
F-81690	POSTURAL REFLEX, NOS
F-81692	POSTURAL REFLEX, ABNORMAL
F-81740	DYSMETRIA, NOS
F-81760	HYPERMETRIA
F-81770	HYPOMETRIA
F-81810	EQUILIBRIUM, NOS
F-81812	DISORDER OF BALANCE, NOS
F-81880	GRASP REFLEX
F-81890	BABINSKI SIGN
F-81900	GAG REFLEX
F-81905	GAG REFLEX, ABSENT
F-82000	SENSATION, NOS
F-82010	SENSATION, TOUCH
F-82013	HYPERESTHESIA
F-82014	HYPOESTHESIA
F-82050	SENSATION, PAIN
F-82080	SENSE OF POSITION AND MOVEMENT
F-82120	TICKLE SENSATION
F-82200	SENSORY DISORDER, NOS
F-82300	PRURITUS, NOS
F-82545	ABSENCE OF POSTURAL SENSE
F-82600	PAIN, NOS
F-82608	PAIN, SUPERFICIAL
F-82609	PAIN, DEEP
F-82640	ANALGESIA
F-82740	INDIFFERENCE TO PAIN
F-82800	NEURALGIA, NOS
F-83002	FIRST CRANIAL NERVE DISORDER, NOS
F-83102	SECOND CRANIAL NERVE DISORDER, NOS
F-83212	THIRD CRANIAL NERVE DISORDER, NOS
F-83312	FOURTH CRANIAL NERVE DISORDER, NOS
F-83412	FIFTH CRANIAL NERVE DISORDER, NOS
F-83512	SIXTH CRANIAL NERVE DISORDER, NOS
F-83612	SEVENTH CRANIAL NERVE DISORDER, NOS
F-83712	EIGHT CRANIAL NERVE DISORDER, NOS
F-83812	NINTH CRANIAL NERVE DISORDER, NOS
F-83912	TENTH CRANIAL NERVE DISORDER, NOS
F-83X12	ELEVENTH CRANIAL NERVE DISORDER, NOS
F-83Y12	TWELFTH CRANIAL NERVE DISORDER, NOS
F-84202	COORDINATION DISORDER, NOS
F-84300	GAIT, NOS
F-84302	GAIT ABNORMALITY, NOS
F-84320	GAIT, UNSTEADY
F-84420	GAIT, LIMP
F-84510	CHOREA
F-84580	ATAXIA, NOS
F-84600	TREMOR, NOS
F-85002	CEREBRAL DISORDER, NOS
